Stt,Tỉnh mới,Gộp từ các tỉnh cũ,Phường/xã mới,Sát nhập từ các Phường/xã trước
2465,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Trường Ninh,"Xã Vạn Ninh, Xã An Ninh, Xã Xuân Ninh, Xã Hiền Ninh"
2466,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Trường Phú,"Xã Trường Thủy, Xã Mai Thủy, Xã Phú Thủy"
2467,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Trường Sơn,"Xã Trường Xuân, Xã Trường Sơn"
2468,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Tuyên Bình,"Xã Phong Hóa, Xã Ngư Hóa, Xã Mai Hóa"
2469,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Tuyên Hóa,"Xã Tiến Hóa, Xã Châu Hóa, Xã Cao Quảng, Xã Văn Hóa"
2470,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Tuyên Lâm,"Xã Lâm Hóa, Xã Thanh Hóa"
2471,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Tuyên Phú,"Xã Đồng Hóa, Xã Thạch Hóa, Xã Đức Hóa"
2472,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Tuyên Sơn,"Xã Thanh Thạch, Xã Hương Hóa"
2473,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Vĩnh Định,"Xã Hải Quy, Xã Hải Hưng, Xã Hải Bình"
2474,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Vĩnh Hoàng,"Xã Vĩnh Thái, Xã Trung Nam, Xã Vĩnh Hòa, Xã Vĩnh Tú"
2475,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Vĩnh Linh,"Thị trấn Hồ Xá, Xã Vĩnh Long, Xã Vĩnh Chấp"
2476,Quảng Trị,"Quảng Bình, Quảng Trị",Xã Vĩnh Thủy,"Xã Vĩnh Lâm, Xã Vĩnh Sơn, Xã Vĩnh Thủy"
2477,Sơn La,Sơn La,Xã Bắc Yên,"Thị trấn Bắc Yên, Xã Phiêng Ban, Xã Hồng Ngài, Xã Song Pe"
2478,Sơn La,Sơn La,Xã Bình Thuận,"Xã Phổng Lái, Xã Chiềng Pha"
2479,Sơn La,Sơn La,Xã Bó Sinh,"Xã Pú Bẩu, Xã Chiềng En, Xã Bó Sinh"
2480,Sơn La,Sơn La,Xã Chiềng An,"Phường Chiềng An, Xã Chiềng Xôm, Xã Chiềng Đen"
2481,Sơn La,Sơn La,Xã Chiềng Cơi,"Phường Chiềng Cơi, Xã Hua La, Xã Chiềng Cọ"
2482,Sơn La,Sơn La,Xã Chiềng Hặc,"Xã Tú Nang, Xã Mường Lựm, Xã Chiềng Hặc"
2483,Sơn La,Sơn La,Xã Chiềng Hoa,"Xã Chiềng Ân, Xã Chiềng Công, Xã Chiềng Hoa"
2484,Sơn La,Sơn La,Xã Chiềng Khoong,"Xã Mường Cai, Xã Chiềng Khoong"
2485,Sơn La,Sơn La,Xã Chiềng Khương,"Xã Mường Sai, Xã Chiềng Khương"
2486,Sơn La,Sơn La,Xã Chiềng La,"Xã Chiềng Ngàm, Xã Nong Lay, Xã Tông Cọ, Xã Chiềng La"
2487,Sơn La,Sơn La,Xã Chiềng Lao,"Xã Nậm Giôn, Xã Hua Trai, Xã Chiềng Lao"
2488,Sơn La,Sơn La,Xã Chiềng Mai,"Xã Chiềng Ban, Xã Chiềng Kheo, Xã Chiềng Dong, Xã Chiềng Ve, Xã
Chiềng Mai"
2489,Sơn La,Sơn La,Xã Chiềng Mung,"Xã Mường Bằng, Xã Mường Bon, Xã Chiềng Mung"
2490,Sơn La,Sơn La,Xã Chiềng Sại,"Xã Phiêng Côn, Xã Chiềng Sại"
2491,Sơn La,Sơn La,Phường Chiềng Sinh,"Phường Chiềng Sinh, Xã Chiềng Ngần"
2492,Sơn La,Sơn La,Xã Chiềng Sơ,"Xã Yên Hưng, Xã Chiềng Sơ"
2493,Sơn La,Sơn La,Xã Chiềng Sơn,"Xã Chiềng Xuân, Xã Chiềng Sơn"
2494,Sơn La,Sơn La,Xã Chiềng Sung,"Xã Chiềng Chăn, Xã Chiềng Sung"
2495,Sơn La,Sơn La,Xã Co Mạ,"Xã Co Tòng, Xã Pá Lông, Xã Co Mạ"
2496,Sơn La,Sơn La,Xã Đoàn Kết,"Xã Chiềng Chung (thị xã Mộc Châu), Xã Đoàn Kết"
2497,Sơn La,Sơn La,Xã Gia Phù,"Xã Tường Phù, Xã Suối Bau, Xã Sập Xa, Xã Gia Phù"
2498,Sơn La,Sơn La,Xã Huổi Một,"Xã Nậm Mằn, Xã Huổi Một"
2499,Sơn La,Sơn La,Xã Kim Bon,"Xã Đá Đỏ, Xã Kim Bon"
2500,Sơn La,Sơn La,Xã Long Hẹ,"Xã É Tòng, Xã Long Hẹ"
2501,Sơn La,Sơn La,Xã Lóng Phiêng,"Xã Chiềng Tương, Xã Lóng Phiêng"
2502,Sơn La,Sơn La,Xã Lóng Sập,"Xã Chiềng Khừa, Xã Lóng Sập"
2503,Sơn La,Sơn La,Xã Mai Sơn,"Thị trấn Hát Lót, Xã Hát Lót, Xã Cò Nòi"
2504,Sơn La,Sơn La,Phường Mộc Châu,"Phường Mộc Lỵ, Phường Mường Sang, Xã Chiềng Hắc"
2505,Sơn La,Sơn La,Phường Mộc Sơn,"Phường Đông Sang, Phường Mộc Sơn"
2506,Sơn La,Sơn La,Xã Muổi Nọi,"Xã Bản Lầm, Xã Bon Phặng, Xã Muổi Nọi"
2507,Sơn La,Sơn La,Phường Mường Bám,Mường Bám
2508,Sơn La,Sơn La,Xã Mường Bang,"Xã Mường Do, Xã Mường Lang, Xã Mường Bang"
2509,Sơn La,Sơn La,Xã Mường Bú,"Xã Mường Chùm, Xã Tạ Bú, Xã Mường Bú"
2510,Sơn La,Sơn La,Xã Mường Chanh,"Xã Chiềng Chung (huyện Mai Sơn), Xã Mường Chanh"
2511,Sơn La,Sơn La,Xã Mường Chiên,"Xã Chiềng Khay, Xã Cà Nàng, Xã Mường Chiên"
2512,Sơn La,Sơn La,Xã Mường Cơi,"Xã Mường Thải, Xã Tân Lang, Xã Mường Cơi"
2513,Sơn La,Sơn La,Xã Mường É,"Xã Phổng Lập, Xã Mường É"
2514,Sơn La,Sơn La,Xã Mường Giôn,"Xã Pá Ma Pha Khinh, Xã Mường Giôn"
2515,Sơn La,Sơn La,Xã Mường Hung,"Xã Chiềng Cang, Xã Mường Hung"
2516,Sơn La,Sơn La,Xã Mường Khiêng,"Xã Liệp Tè, Xã Bó Mười, Xã Mường Khiêng"
2517,Sơn La,Sơn La,Xã Mường La,"Thị trấn Ít Ong, Xã Nặm Păm, Xã Chiềng San, Xã Chiềng Muôn, Xã Mường
Trai, Xã Pi Toong"
2518,Sơn La,Sơn La,Phường Mường Lạn,Mường Lạn
2519,Sơn La,Sơn La,Xã Mường Lầm,"Xã Đứa Mòn, Xã Mường Lầm"
2520,Sơn La,Sơn La,Phường Mường Lèo,Mường Lèo
2521,Sơn La,Sơn La,Xã Mường Sại,"Xã Nặm Ét, Xã Mường Sại"
2522,Sơn La,Sơn La,Xã Nậm Lầu,"Xã Chiềng Bôm, Xã Púng Tra, Xã Nậm Lầu"
2523,Sơn La,Sơn La,Xã Nậm Ty,"Xã Chiềng Phung, Xã Nậm Ty"
2524,Sơn La,Sơn La,Phường Ngọc Chiến,Ngọc Chiến
2525,Sơn La,Sơn La,Xã Pắc Ngà,"Xã Chim Vàn, Xã Pắc Ngà"
2526,Sơn La,Sơn La,Xã Phiêng Cằm,"Xã Chiềng Nơi, Xã Phiêng Cằm"
2527,Sơn La,Sơn La,Phường Phiêng Khoài,Phiêng Khoài
2528,Sơn La,Sơn La,Xã Phiêng Pằn,"Xã Nà Ớt, Xã Chiềng Lương, Xã Phiêng Pằn"
2529,Sơn La,Sơn La,Xã Phù Yên,"Thị trấn Quang Huy, Xã Huy Hạ, Xã Huy Tường, Xã Huy Tân, Xã Huy
Thượng"
2530,Sơn La,Sơn La,Xã Púng Bánh,"Xã Dồm Cang, Xã Sam Kha, Xã Púng Bánh"
2531,Sơn La,Sơn La,Xã Quỳnh Nhai,"Thị trấn Mường Giàng, Xã Chiềng Bằng, Xã Chiềng Khoang, Xã Chiềng Ơn"
2532,Sơn La,Sơn La,Xã Song Khủa,"Xã Mường Tè, Xã Liên Hòa, Xã Quang Minh, Xã Song Khủa"
2533,Sơn La,Sơn La,Phường Sông Mã,"Thị trấn Sông Mã, Xã Nà Nghịu"
2534,Sơn La,Sơn La,Xã Sốp Cộp,"Xã Mường Và, Xã Nậm Lạnh, Xã Sốp Cộp"
2535,Sơn La,Sơn La,Phường Suối Tọ,Suối Tọ
2536,Sơn La,Sơn La,Xã Tà Hộc,"Xã Nà Bó, Xã Tà Hộc"
2537,Sơn La,Sơn La,Xã Tạ Khoa,"Xã Mường Khoa, Xã Hua Nhàn, Xã Tạ Khoa"
2538,Sơn La,Sơn La,Xã Tà Xùa,"Xã Làng Chếu, Xã Háng Đồng, Xã Tà Xùa"
2539,Sơn La,Sơn La,Xã Tân Phong,"Xã Bắc Phong, Xã Nam Phong, Xã Tân Phong"
2540,Sơn La,Sơn La,Phường Tân Yên,Tân Yên
2541,Sơn La,Sơn La,Phường Thảo Nguyên,"Phường Cờ Đỏ, Phường Thảo Ngu yên"
2542,Sơn La,Sơn La,Xã Thuận Châu,"Thị trấn Thuận Châu, Xã Phổng Ly, Xã Thôm Mòn, Xã Tông Lạnh, Xã
Chiềng Pấc"
2543,Sơn La,Sơn La,Phường Tô Hiệu,"Phường Quyết Thắng, Phường Quyết Tâm, Phường Chiềng Lề, Phường Tô Hiệu"
2544,Sơn La,Sơn La,Xã Tô Múa,"Xã Chiềng Khoa, Xã Suối Bàng, Xã Tô Múa"
2545,Sơn La,Sơn La,Xã Tường Hạ,"Xã Tường Thượng, Xã Tường Phong, Xã Tường Tiến, Xã Tường Hạ"
2546,Sơn La,Sơn La,Xã Vân Hồ,"Xã Lóng Luông, Xã Chiềng Yên, Xã Mường Men, Xã Vân Hồ"
2547,Sơn La,Sơn La,Phường Vân Sơn,"Phường Bình Minh, Phường Vân Sơn"
2548,Sơn La,Sơn La,Xã Xím Vàng,"Xã Hang Chú, Xã Xí m Vàng"
2549,Sơn La,Sơn La,Xã Xuân Nha,"Xã Tân Xuân, Xã Xuân Nha"
2550,Sơn La,Sơn La,Xã Yên Châu,"Thị trấn Yên Châu, Xã Chiềng Đông, Xã Chiềng Sàng, Xã Chiềng Pằn, Xã
Chiềng Khoi, Xã Sặp Vạt"
2551,Sơn La,Sơn La,Xã Yên Sơn,"Xã Chiềng On, Xã Yên Sơn"
2552,Tây Ninh,"Tây Ninh, Long An",Xã An Lục Long,"Xã Dương Xuân Hội, Xã Long Trì, Xã An Lục Long"
2553,Tây Ninh,"Tây Ninh, Long An",Xã An Ninh,"Xã Lộc Giang, Xã An Ninh Đông, Xã An Ninh Tây"
2554,Tây Ninh,"Tây Ninh, Long An",Phường An Tịnh,"Phường Lộc Hưng, Phường An Tịnh"
2555,Tây Ninh,"Tây Ninh, Long An",Xã Bến Cầu,"Thị trấn Bến Cầu, Xã An Thạnh (huyện Bến Cầu), Xã Tiên Thuận, Xã Lợi Thuận"
2556,Tây Ninh,"Tây Ninh, Long An",Xã Bến Lức,"Xã An Thạnh (huyện Bến Lức), Xã Thanh Phú, Thị trấn Bến Lức"
2557,Tây Ninh,"Tây Ninh, Long An",Xã Bình Đức,"Xã Thạnh Đức (huyện Bến Lức), Xã Nhựt Chánh, Xã Bình Đức"
2558,Tây Ninh,"Tây Ninh, Long An",Xã Bình Hiệp,"Xã Thạnh Trị, Xã Bình Tân, Xã Bình Hòa Tây, Xã Bình Hiệp"
2559,Tây Ninh,"Tây Ninh, Long An",Xã Bình Hòa,"Xã Bình Thạnh (huyện Mộc Hóa), Xã Bình Hòa Đông, Xã Bình Hòa Trung"
2560,Tây Ninh,"Tây Ninh, Long An",Xã Bình Minh,"Phường Ninh Sơn, Xã Tân Bình (thành phố Tây Ninh), Xã Bình Minh, Xã
Thạnh Tân, Xã Suối Đá, Xã Phan"
2561,Tây Ninh,"Tây Ninh, Long An",Xã Bình Thành,"Xã Tân Hiệp (huyện Thạnh Hóa), Xã Thuận Bình, Xã Bình Hòa Hưng"
2562,Tây Ninh,"Tây Ninh, Long An",Xã Cần Đước,"Thị trấn Cần Đước, Xã Phước Tuy, Xã Tân Ân, Xã Tân Chánh"
2563,Tây Ninh,"Tây Ninh, Long An",Xã Cần Giuộc,"Thị trấn Cần Giuộc, Xã Phước Lại, Xã Long Hậu"
2564,Tây Ninh,"Tây Ninh, Long An",Xã Cầu Khởi,"Xã Phước Ninh, Xã Cầu Khởi, Xã Chà Là"
2565,Tây Ninh,"Tây Ninh, Long An",Xã Châu Thành,"Thị trấn Châu Thành, Xã Đồng Khởi, Xã An Bình, Xã Thái Bình"
2566,Tây Ninh,"Tây Ninh, Long An",Xã Dương Minh Châu,"Thị trấn Dương Minh Châu, Xã Phan, Xã Suối Đá, Xã Phước Minh"
2567,Tây Ninh,"Tây Ninh, Long An",Xã Đông Thành,"Thị trấn Đông Thành, Xã Mỹ Thạnh Tây, Xã Mỹ Thạnh Đông, Xã Mỹ Bình"
2568,Tây Ninh,"Tây Ninh, Long An",Xã Đức Hòa,"Thị trấn Đức Hòa, Xã Hựu Thạnh, Xã Đức Hòa Hạ"
2569,Tây Ninh,"Tây Ninh, Long An",Xã Đức Huệ,"Xã Bình Hòa Bắc, Xã Bình Hòa Nam, Xã Bình Thành"
2570,Tây Ninh,"Tây Ninh, Long An",Xã Đức Lập,"Xã Đức Lập Hạ, Xã Mỹ Hạnh Bắc, Xã Đức Hòa Thượng"
2571,Tây Ninh,"Tây Ninh, Long An",Phường Gia Lộc,"Xã Phước Đông (huyện Gò Dầu), Phường Gia Lộc"
2572,Tây Ninh,"Tây Ninh, Long An",Phường Gò Dầu,"Phường Gia Bình, Thị trấn Gò Dầu, Xã Thanh Phước"
2573,Tây Ninh,"Tây Ninh, Long An",Xã Hảo Đước,"Xã An Cơ, Xã Trí Bình, Xã Hảo Đước"
2574,Tây Ninh,"Tây Ninh, Long An",Xã Hậu Nghĩa,"Thị trấn Hậu Nghĩa, Xã Đức Lập Thượng, Xã Tân Mỹ"
2575,Tây Ninh,"Tây Ninh, Long An",Xã Hậu Thạnh,"Xã Hậu Thạnh Đông, Xã Hậu Thạnh Tây, Xã Bắc Hòa"
2576,Tây Ninh,"Tây Ninh, Long An",Xã Hiệp Hòa,"Xã Tân Phú (huyện Đức Hòa), Xã Hiệp Hòa, Thị trấn Hiệp Hòa"
2577,Tây Ninh,"Tây Ninh, Long An",Xã Hòa Hội,"Xã Biên Giới, Xã Hòa Thạnh, Xã Hòa Hội"
2578,Tây Ninh,"Tây Ninh, Long An",Xã Hòa Khánh,"Xã Hòa Khánh Tây, Xã Hòa Khánh Nam, Xã Hòa Khánh Đông"
2579,Tây Ninh,"Tây Ninh, Long An",Phường Hòa Thành,"Phường Long Thành Trung, Xã Long Thành Nam"
2580,Tây Ninh,"Tây Ninh, Long An",Xã Hưng Điền,"Xã Hưng Hà, Xã Hưng Điền B, Xã Hưng Điền"
2581,Tây Ninh,"Tây Ninh, Long An",Xã Hưng Thuận,"Xã Đôn Thuận, Xã Hưng Thuận"
2582,Tây Ninh,"Tây Ninh, Long An",Phường Khánh Hậu,"Phường Tân Khánh, Phường Khánh Hậu, Xã Lợi Bình Nhơn"
2583,Tây Ninh,"Tây Ninh, Long An",Xã Khánh Hưng,"Xã Hưng Điền A, Xã Thái Bình Trung, Xã Vĩnh Trị, Xã Thái Trị, Xã Khánh Hưng"
2584,Tây Ninh,"Tây Ninh, Long An",Phường Kiến Tường,"Phường 1, Phường 2, Phường 3 (thị xã Kiến Tường)"
2585,Tây Ninh,"Tây Ninh, Long An",Xã Long An,"Phường 1 (thành phố Tân An), Phường 3 (thành phố Tân An), Phường 4,
Phường 5, Phường 6, Xã Hướng Thọ Phú, Xã Bình Thạnh (huyện Thủ Thừa)"
2586,Tây Ninh,"Tây Ninh, Long An",Xã Long Cang,"Xã Long Định, Xã Phước Vân, Xã Long Cang"
2587,Tây Ninh,"Tây Ninh, Long An",Xã Long Chữ,"Xã Long Vĩnh, Xã Long Phước, Xã Long Chữ"
2588,Tây Ninh,"Tây Ninh, Long An",Xã Long Hoa,"Phường Long Thành Bắc, Phường Long Hoa, Xã Trường Hòa, Xã Trường
Tây, Xã Trường Đông"
2589,Tây Ninh,"Tây Ninh, Long An",Xã Long Hựu,"Xã Long Hựu Đông, Xã Long Hựu Tây"
2590,Tây Ninh,"Tây Ninh, Long An",Xã Long Thuận,"Xã Long Thuận (huyện Bến Cầu), Xã Long Giang, Xã Long Khánh"
2591,Tây Ninh,"Tây Ninh, Long An",Xã Lộc Ninh,"Xã Bến Củi, Xã Lộc Ninh, Xã Phước Minh"
2592,Tây Ninh,"Tây Ninh, Long An",Xã Lương Hòa,"Xã Tân Bửu, Xã Lương Hòa"
2593,Tây Ninh,"Tây Ninh, Long An",Xã Mộc Hóa,"Xã Tân Thành, Xã Tân Lập (huyện Mộc Hóa), Thị trấn Bình Phong Thạnh"
2594,Tây Ninh,"Tây Ninh, Long An",Xã Mỹ An,"Xã Mỹ Phú, Xã Mỹ An"
2595,Tây Ninh,"Tây Ninh, Long An",Xã Mỹ Hạnh,"Xã Đức Hòa Đông, Xã Mỹ Hạnh Nam, Xã Đức Hòa Thượng"
2596,Tây Ninh,"Tây Ninh, Long An",Xã Mỹ Lệ,"Xã Tân Trạch, Xã Long Sơn, Xã Mỹ Lệ"
2597,Tây Ninh,"Tây Ninh, Long An",Xã Mỹ Lộc,"Xã Phước Lâm, Xã Thuận Thành, Xã Mỹ Lộc"
2598,Tây Ninh,"Tây Ninh, Long An",Xã Mỹ Quý,"Xã Mỹ Thạnh Bắc, Xã Mỹ Quý Đông, Xã Mỹ Quý Tây"
2599,Tây Ninh,"Tây Ninh, Long An",Xã Mỹ Thạnh,"Xã Bình An, Xã Mỹ Lạc, Xã Mỹ Thạnh, Xã Tân Thành (huyện Thủ Thừa)"
2600,Tây Ninh,"Tây Ninh, Long An",Xã Mỹ Yên,"Xã Long Hiệp, Xã Phước Lợi, Xã Mỹ Yên"
2601,Tây Ninh,"Tây Ninh, Long An",Xã Nhơn Hòa Lập,"Xã Tân Lập (huyện Tân Thạnh), Xã Nhơn Hòa, Xã Nhơn Hòa Lập"
2602,Tây Ninh,"Tây Ninh, Long An",Xã Nhơn Ninh,"Xã Tân Thành (huyện Tân Thạnh), Xã Tân Ninh, Xã Nhơn Ninh"
2603,Tây Ninh,"Tây Ninh, Long An",Xã Nhựt Tảo,"Xã Tân Bình (huyện Tân Trụ), Xã Quê Mỹ Thạnh, Xã Lạc Tấn, Xã Nhị
Thành, Thủ Thừa"
2604,Tây Ninh,"Tây Ninh, Long An",Xã Ninh Điền,"Xã Thành Long, Xã Ninh Điền"
2605,Tây Ninh,"Tây Ninh, Long An",Xã Ninh Thạnh,"Phường Ninh Thạnh, Xã Bàu Năng, Xã Chà Là"
2606,Tây Ninh,"Tây Ninh, Long An",Xã Phước Chỉ,"Xã Phước Bình, Xã Phước Chỉ"
2607,Tây Ninh,"Tây Ninh, Long An",Xã Phước Lý,"Xã Long Thượng, Xã Phước Hậu, Xã Phước Lý"
2608,Tây Ninh,"Tây Ninh, Long An",Xã Phước Thạnh,"Xã Hiệp Thạnh (huyện Gò Dầu), Xã Phước Trạch, Xã Phước Thạnh"
2609,Tây Ninh,"Tây Ninh, Long An",Xã Phước Vinh,"Xã Hòa Hiệp, Xã Phước Vinh"
2610,Tây Ninh,"Tây Ninh, Long An",Xã Phước Vĩnh Tây,"Xã Long An, Xã Long Phụng, Xã Phước Vĩnh Tây"
2611,Tây Ninh,"Tây Ninh, Long An",Xã Rạch Kiến,"Xã Long Trạch, Xã Long Khê, Xã Long Hòa"
2612,Tây Ninh,"Tây Ninh, Long An",Xã Tầm Vu,"Thị trấn Tầm Vu, Xã Hiệp Thạnh (huyện Châu Thành), Xã Phú Ngãi Trị, Xã
Phước Tân Hưng"
2613,Tây Ninh,"Tây Ninh, Long An",Xã Tân An,"Phường 7, Xã Bình Tâm, Xã Nhơn Thạnh Trung, Xã An Vĩnh Ngãi"
2614,Tây Ninh,"Tây Ninh, Long An",Xã Tân Biên,"Xã Tân Bình (huyện Tân Biên), Xã Thạnh Tây, Thị trấn Tân Biên"
2615,Tây Ninh,"Tây Ninh, Long An",Xã Tân Châu,"Thị trấn Tân Châu, Xã Thạnh Đông, Xã Tân Phú (huyện Tân Châu), Xã Suối
Dây"
2616,Tây Ninh,"Tây Ninh, Long An",Xã Tân Đông,"Xã Tân Đông (huyện Tân Châu), Xã Tân Hà"
2617,Tây Ninh,"Tây Ninh, Long An",Xã Tân Hòa,"Xã Tân Hòa (huyện Tân Châu), Xã Suối Ngô"
2618,Tây Ninh,"Tây Ninh, Long An",Xã Tân Hội,"Xã Tân Hiệp (huyện Tân Châu), Xã Tân Hội"
2619,Tây Ninh,"Tây Ninh, Long An",Xã Tân Hưng,"Thị trấn Tân Hưng, Xã Vĩnh Thạnh, Xã Vĩnh Lợi"
2620,Tây Ninh,"Tây Ninh, Long An",Xã Tân Lân,"Xã Phước Đông (huyện Cần Đước), Xã Tân Lân"
2621,Tây Ninh,"Tây Ninh, Long An",Xã Tân Lập,"Xã Tân Lập (huyện Tân Biên), Xã Thạnh Bắc"
2622,Tây Ninh,"Tây Ninh, Long An",Xã Tân Long,"Xã Long Thuận (huyện Thủ Thừa), Xã Long Thạnh, Xã Tân Long"
2623,Tây Ninh,"Tây Ninh, Long An",Phường Tân Ninh,"Phường 1, Phường 2, Phường 3 (thành phố Tây Ninh), Phường IV, Phường
Hiệp Ninh, Xã Thái Bình"
2624,Tây Ninh,"Tây Ninh, Long An",Xã Tân Phú,"Xã Tân Hưng, Xã Mỏ Công, Xã Trà Vong, Xã Tân Phong, Xã Tân Phú
(huyện Tân Châu)"
2625,Tây Ninh,"Tây Ninh, Long An",Xã Tân Tập,"Xã Đông Thạnh, Xã Phước Vĩnh Đông, Xã Tân Tập"
2626,Tây Ninh,"Tây Ninh, Long An",Xã Tân Tây,"Xã Tân Đông (huyện Thạnh Hóa), Xã Thủy Đông, Xã Tân Tây"
2627,Tây Ninh,"Tây Ninh, Long An",Xã Tân Thành,"Xã Tân Thành (huyện Tân Châu), Xã Suối Dây"
2628,Tây Ninh,"Tây Ninh, Long An",Xã Tân Thạnh,"Xã Tân Bình, Xã Tân Hòa (huyện Tân Thạnh), Xã Kiến Bình, Thị trấn Tân Thạnh"
2629,Tây Ninh,"Tây Ninh, Long An",Xã Tân Trụ,"Thị trấn Tân Trụ, Xã Bình Trinh Đông, Xã Bình Lãng, Xã Bình Tịnh"
2630,Tây Ninh,"Tây Ninh, Long An",Xã Thạnh Bình,"Xã Thạnh Bình, Xã Tân Phong"
2631,Tây Ninh,"Tây Ninh, Long An",Phường Thanh Điền,"Phường Hiệp Tân, Xã Thanh Điền"
2632,Tây Ninh,"Tây Ninh, Long An",Xã Thạnh Đức,"Xã Thạnh Đức (huyện Gò Dầu), Xã Cẩm Giang"
2633,Tây Ninh,"Tây Ninh, Long An",Xã Thạnh Hóa,"Thị trấn Thạnh Hóa, Xã Thủy Tây, Xã Thạnh An"
2634,Tây Ninh,"Tây Ninh, Long An",Xã Thạnh Lợi,"Xã Thạnh Hòa, Xã Lương Bình, Xã Thạnh Lợi"
2635,Tây Ninh,"Tây Ninh, Long An",Xã Thạnh Phước,"Xã Thuận Nghĩa Hòa, Xã Thạnh Phú, Xã Thạnh Phước"
2636,Tây Ninh,"Tây Ninh, Long An",Xã Thủ Thừa,"Thị trấn Thủ Thừa, Xã Bình Thạnh, Xã Tân Thành (huyện Thủ Thừa), Xã
Nhị Thành"
2637,Tây Ninh,"Tây Ninh, Long An",Xã Thuận Mỹ,"Xã Thanh Phú Long, Xã Thanh Vĩnh Đông, Xã Thuận Mỹ"
2638,Tây Ninh,"Tây Ninh, Long An",Xã Trà Vong,"-, Xã Mỏ Công, Xã Trà Vong"
2639,Tây Ninh,"Tây Ninh, Long An",Phường Trảng Bàng,"Phường An Hòa, Phường Trảng Bàng"
2640,Tây Ninh,"Tây Ninh, Long An",Xã Truông Mít,"Xã Bàu Đồn, Xã Truông Mít"
2641,Tây Ninh,"Tây Ninh, Long An",Xã Tuyên Bình,"Xã Tuyên Bình, Xã Tuyên Bình Tây, Xã Vĩnh Bình, Xã Vĩnh Thuận, Xã
Thái Bình Trung"
2642,Tây Ninh,"Tây Ninh, Long An",Xã Tuyên Thạnh,"Xã Thạnh Hưng (thị xã Kiến Tường), Xã Tuyên Thạnh, Xã Bắc Hòa"
2643,Tây Ninh,"Tây Ninh, Long An",Xã Vàm Cỏ,"Xã Tân Phước Tây, Xã Nhựt Ninh, Xã Đức Tân"
2644,Tây Ninh,"Tây Ninh, Long An",Xã Vĩnh Châu,"Xã Vĩnh Đại, Xã Vĩnh Bửu, Xã Vĩnh Châu A"
2645,Tây Ninh,"Tây Ninh, Long An",Xã Vĩnh Công,"Xã Hòa Phú, Xã Bình Quới, Xã Vĩnh Công"
2646,Tây Ninh,"Tây Ninh, Long An",Xã Vĩnh Hưng,"Thị trấn Vĩnh Hưng, Xã Vĩnh Trị, Xã Thái Trị, Xã Khánh Hưng, Xã Thái
Bình Trung, Xã Vĩnh Thuận, Xã Vĩnh Bình"
2647,Tây Ninh,"Tây Ninh, Long An",Xã Vĩnh Thạnh,"Xã Thạnh Hưng (huyện Tân Hưng), Xã Vĩnh Châu B, Xã Hưng Thạnh"
2648,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã An Khánh,"Xã Cù Vân, Xã Hà Thượng, Xã An Khánh"
2649,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Ba Bể,"Xã Cao Thượng, Xã Nam Mẫu, Xã Khang Ninh"
2650,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Phường Bá Xuyên,"Phường Mỏ Chè, Phường Châu Sơn, Xã Bá Xuyên"
2651,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Phường Bách Quang,"Phường Lương Sơn, Phường Bách Quang, Xã Tân Quang"
2652,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Bạch Thông,"Xã Đồng Thắng, Xã Dương Phong, Xã Quang Thuận"
2653,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Phường Bắc Kạn,"Phường Sông Cầu, Phường Phùng Chí Kiên, Phường Xuất Hóa, Xã Nông
Thượng"
2654,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Bằng Thành,"Xã Bộc Bố, Xã Nhạn Môn, Xã Giáo Hiệu, Xã Bằng Thành"
2655,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Bằng Vân,"Xã Thượng Ân, Xã Bằng Vân"
2656,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Bình Thành,"Xã Sơn Phú, Xã Bình Thành"
2657,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Bình Yên,"Xã Trung Lương, Xã Định Biên, Xã Thanh Định, Xã Bình Yên"
2658,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Cao Minh,"Xã Công Bằng, Xã Cổ Linh, Xã Cao Tân"
2659,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Cẩm Giàng,"Xã Quân Hà, Xã Nguyên Phúc, Xã Mỹ Thanh, Xã Cẩm Giàng"
2660,Thái Nguyên,"Thái Nguyên, Bắc Kạn",Xã Chợ Đồn,"Thị trấn Bằng Lũng, Xã Ngọc Phái, Xã Phương Viên, Xã Bằng Lãng"
